subid,subage,trial,agent,discourseNovel,mutExNovel,pick,novelObject,correct,age_num,age,alignment,item
190530_8_com,4,1,Tiger,right,right,t16,t16,1,4.931278538812785,2.895890410958904,congruent,plug
190530_8_com,4,2,Dog,right,left,papaya,t02,0,4.931278538812785,2.895890410958904,incongruent,papaya
190530_8_com,4,3,Pig,left,left,t11,t11,1,4.931278538812785,2.895890410958904,congruent,duck
190530_8_com,4,4,Bunny,right,left,barrel,t13,0,4.931278538812785,2.895890410958904,incongruent,barrel
190530_8_com,4,5,Monkey,left,left,t14,t14,1,4.931278538812785,2.895890410958904,congruent,carrot
190530_8_com,4,6,Bear,left,right,eggplant,t21,0,4.931278538812785,2.895890410958904,incongruent,eggplant
190530_8_com,4,7,Elephant,right,left,t12,t12,1,4.931278538812785,2.895890410958904,incongruent,apple
190530_8_com,4,8,Sheep,left,right,t19,t19,1,4.931278538812785,2.895890410958904,incongruent,bread
190530_8_com,4,9,Frog,right,right,t20,t20,1,4.931278538812785,2.895890410958904,congruent,pawn
190530_8_com,4,10,Mouse,right,right,t15,t15,1,4.931278538812785,2.895890410958904,congruent,horseshoe
190530_8_com,4,11,Cat,left,left,garlic,t07,0,4.931278538812785,2.895890410958904,congruent,garlic
190530_8_com,4,12,Beaver,left,right,t04,t04,1,4.931278538812785,2.895890410958904,incongruent,kite
190530_9_com,2,1,Bear,left,right,t07,t07,1,2.725799086757991,0.6904109589041094,incongruent,duck
190530_9_com,2,2,Monkey,right,right,t08,t08,1,2.725799086757991,0.6904109589041094,congruent,horseshoe
190530_9_com,2,3,Pig,right,right,t13,t13,1,2.725799086757991,0.6904109589041094,congruent,garlic
190530_9_com,2,4,Sheep,left,right,t09,t09,1,2.725799086757991,0.6904109589041094,incongruent,eggplant
190530_9_com,2,5,Frog,right,left,apple,t21,0,2.725799086757991,0.6904109589041094,incongruent,apple
190530_9_com,2,6,Beaver,left,left,barrel,t14,0,2.725799086757991,0.6904109589041094,congruent,barrel
190530_10_com,3,1,Bunny,right,left,barrel,t15,0,3.377853881278539,1.3424657534246576,incongruent,barrel
190530_10_com,3,2,Cat,right,right,t19,t19,1,3.377853881278539,1.3424657534246576,congruent,eggplant
190530_10_com,3,3,Pig,left,right,pawn,t04,0,3.377853881278539,1.3424657534246576,incongruent,pawn
190530_10_com,3,4,Elephant,right,right,t09,t09,1,3.377853881278539,1.3424657534246576,congruent,apple
190530_10_com,3,5,Frog,left,right,t02,t02,1,3.377853881278539,1.3424657534246576,incongruent,carrot
190530_10_com,3,6,Dog,left,left,t16,t16,1,3.377853881278539,1.3424657534246576,congruent,duck
190603_1_com,2,1,Mouse,left,right,t11,t11,1,2.7121004566210045,0.6767123287671231,incongruent,pawn
190603_1_com,2,2,Pig,left,right,t03,t03,1,2.7121004566210045,0.6767123287671231,incongruent,apple
190603_1_com,2,3,Sheep,right,right,t02,t02,1,2.7121004566210045,0.6767123287671231,congruent,papaya
190603_1_com,2,4,Cat,right,right,t20,t20,1,2.7121004566210045,0.6767123287671231,congruent,duck
190603_1_com,2,5,Tiger,left,left,t01,t01,1,2.7121004566210045,0.6767123287671231,congruent,carrot
190603_1_com,2,6,Monkey,right,left,horseshoe,t15,0,2.7121004566210045,0.6767123287671231,incongruent,horseshoe
190603_2_com,4,1,Elephant,right,left,garlic,t13,0,4.380593607305936,2.345205479452055,incongruent,garlic
190603_2_com,4,2,Bunny,left,right,barrel,t09,0,4.380593607305936,2.345205479452055,incongruent,barrel
190603_2_com,4,3,Dog,right,right,t19,t19,1,4.380593607305936,2.345205479452055,congruent,eggplant
190603_2_com,4,4,Frog,right,right,t21,t21,1,4.380593607305936,2.345205479452055,congruent,kite
190603_2_com,4,5,Bear,left,right,t16,t16,1,4.380593607305936,2.345205479452055,incongruent,duck
190603_2_com,4,6,Monkey,left,left,t01,t01,1,4.380593607305936,2.345205479452055,congruent,bread
190603_4_com,3,1,Frog,right,right,t15,t15,1,3.169634703196347,1.1342465753424658,congruent,apple
190603_4_com,3,2,Mouse,left,left,t07,t07,1,3.169634703196347,1.1342465753424658,congruent,pawn
190603_4_com,3,3,Pig,left,right,t09,t09,1,3.169634703196347,1.1342465753424658,incongruent,carrot
190603_4_com,3,4,Elephant,right,left,horseshoe,t16,0,3.169634703196347,1.1342465753424658,incongruent,horseshoe
190603_4_com,3,5,Dog,right,left,t12,t12,1,3.169634703196347,1.1342465753424658,incongruent,eggplant
190603_4_com,3,6,Bear,left,left,t08,t08,1,3.169634703196347,1.1342465753424658,congruent,plug
190603_4_com,3,7,Bunny,right,right,t04,t04,1,3.169634703196347,1.1342465753424658,congruent,garlic
190603_4_com,3,8,Tiger,left,left,t20,t20,1,3.169634703196347,1.1342465753424658,congruent,bread
